IntersectionName,IntervalStart,IntervalEnd,Turn,Bound,Direction,realcount,TurnRatio,Bearing,Numbering,OpenDriveFromID,OpenDriveToID,JunctionID_OpenDrive
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,EBT,E,T,114.0,0.991304347826087,114.28,11,426,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,EBL,E,L,1.0,0.008695652173913044,114.28,11,426,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,EBU,E,U,0.0,0.0,114.28,11,426,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,SBR,S,R,4.0,0.13793103448275862,201.4,20,440,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,SBT,S,T,2.0,0.06896551724137931,201.4,20,440,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,SBL,S,L,23.0,0.7931034482758621,201.4,20,440,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,SBU,S,U,0.0,0.0,201.4,20,440,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,WBR,W,R,16.0,0.07079646017699115,293.24,29,412,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,WBT,W,T,203.0,0.8982300884955752,293.24,29,412,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,WBL,W,L,7.0,0.030973451327433628,293.24,29,412,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,WBU,W,U,0.0,0.0,293.24,29,412,407,
0413) Shallowford Rd & I-75 SB,29700,30600,EBR,E,R,30.0,0.22058823529411764,111.5,11,424,399,
0413) Shallowford Rd & I-75 SB,29700,30600,EBT,E,T,106.0,0.7794117647058824,111.5,11,424,400,
0413) Shallowford Rd & I-75 SB,29700,30600,SBR,S,R,64.0,0.39751552795031053,235.09,24,424,398,
0413) Shallowford Rd & I-75 SB,29700,30600,SBT,S,T,0.0,0.0,235.09,24,402,399,
0413) Shallowford Rd & I-75 SB,29700,30600,SBL,S,L,95.0,0.5900621118012422,235.09,24,402,400,
0413) Shallowford Rd & I-75 SB,29700,30600,WBT,W,T,185.0,0.7034220532319392,291.99,29,402,398,
0413) Shallowford Rd & I-75 SB,29700,30600,WBL,W,L,77.0,0.29277566539923955,291.99,29,414,400,
0413) Shallowford Rd & I-75 SB,29700,30600,WBU,W,U,1.0,0.0038022813688212928,291.99,29,414,398,
0414) Shallowford Rd & I-75 NB,29700,30600,NBR,N,R,135.0,0.6887755102040817,50.76,5,411,403,
0414) Shallowford Rd & I-75 NB,29700,30600,NBT,N,T,10.0,0.05102040816326531,50.76,5,411,401,
0414) Shallowford Rd & I-75 NB,29700,30600,NBL,N,L,51.0,0.2602040816326531,50.76,5,406,404,
0414) Shallowford Rd & I-75 NB,29700,30600,EBT,E,T,187.0,0.8947368421052632,114.36,11,406,403,
0414) Shallowford Rd & I-75 NB,29700,30600,EBL,E,L,22.0,0.10526315789473684,114.36,11,406,401,
0414) Shallowford Rd & I-75 NB,29700,30600,EBU,E,U,0.0,0.0,114.36,11,397,404,
0414) Shallowford Rd & I-75 NB,29700,30600,WBR,W,R,52.0,0.1925925925925926,296.65,30,397,403,
0414) Shallowford Rd & I-75 NB,29700,30600,WBT,W,T,218.0,0.8074074074074075,296.65,30,397,401,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,NBR,N,R,8.0,0.2222222222222222,25.84,3,434,416,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,NBT,N,T,0.0,0.0,25.84,3,434,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,NBL,N,L,28.0,0.7777777777777778,25.84,3,434,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,NBU,N,U,0.0,0.0,25.84,3,434,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,EBR,E,R,10.0,0.04132231404958678,116.65,12,399,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,EBT,E,T,219.0,0.9049586776859504,116.65,12,399,416,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,EBL,E,L,13.0,0.05371900826446281,116.65,12,399,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,EBU,E,U,0.0,0.0,116.65,12,399,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,SBR,S,R,5.0,0.8333333333333334,202.48,20,441,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,SBT,S,T,1.0,0.16666666666666666,202.48,20,441,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,SBL,S,L,0.0,0.0,202.48,20,441,416,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,SBU,S,U,0.0,0.0,202.48,20,441,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,WBR,W,R,0.0,0.0,294.22,29,436,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,WBT,W,T,247.0,0.9356060606060606,294.22,29,436,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,WBL,W,L,17.0,0.06439393939393939,294.22,29,436,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,29700,30600,WBU,W,U,0.0,0.0,294.22,29,436,416,
0416) Shallowford Rd & Lifestyle Way,29700,30600,NBR,N,R,1.0,0.1,24.39,2,432,395,
0416) Shallowford Rd & Lifestyle Way,29700,30600,NBT,N,T,1.0,0.1,24.39,2,432,394,
0416) Shallowford Rd & Lifestyle Way,29700,30600,NBL,N,L,8.0,0.8,24.39,2,432,392,
0416) Shallowford Rd & Lifestyle Way,29700,30600,NBU,N,U,0.0,0.0,24.39,2,432,393,
0416) Shallowford Rd & Lifestyle Way,29700,30600,EBR,E,R,8.0,0.03187250996015936,113.75,11,427,393,
0416) Shallowford Rd & Lifestyle Way,29700,30600,EBT,E,T,215.0,0.8565737051792829,113.75,11,427,395,
0416) Shallowford Rd & Lifestyle Way,29700,30600,EBL,E,L,28.0,0.11155378486055777,113.75,11,427,394,
0416) Shallowford Rd & Lifestyle Way,29700,30600,EBU,E,U,0.0,0.0,113.75,11,427,392,
0416) Shallowford Rd & Lifestyle Way,29700,30600,SBR,S,R,22.0,0.8148148148148148,204.06,20,433,392,
0416) Shallowford Rd & Lifestyle Way,29700,30600,SBT,S,T,3.0,0.1111111111111111,204.06,20,433,393,
0416) Shallowford Rd & Lifestyle Way,29700,30600,SBL,S,L,2.0,0.07407407407407407,204.06,20,433,395,
0416) Shallowford Rd & Lifestyle Way,29700,30600,SBU,S,U,0.0,0.0,204.06,20,433,394,
0416) Shallowford Rd & Lifestyle Way,29700,30600,WBR,W,R,10.0,0.03597122302158273,294.03,29,444,394,
0416) Shallowford Rd & Lifestyle Way,29700,30600,WBT,W,T,267.0,0.960431654676259,294.03,29,444,392,
0416) Shallowford Rd & Lifestyle Way,29700,30600,WBL,W,L,1.0,0.0035971223021582736,294.03,29,444,393,
0416) Shallowford Rd & Lifestyle Way,29700,30600,WBU,W,U,0.0,0.0,294.03,29,444,395,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,NBR,N,R,9.0,0.08571428571428572,23.93,2,422,418,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,NBT,N,T,42.0,0.4,23.93,2,422,420,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,NBL,N,L,54.0,0.5142857142857142,23.93,2,422,421,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,NBU,N,U,0.0,0.0,23.93,2,422,419,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,EBR,E,R,111.0,0.40808823529411764,114.05,11,445,419,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,EBT,E,T,145.0,0.5330882352941176,114.05,11,445,418,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,EBL,E,L,16.0,0.058823529411764705,114.05,11,445,420,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,EBU,E,U,0.0,0.0,114.05,11,445,421,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,SBR,S,R,25.0,0.2777777777777778,201.62,20,442,421,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,SBT,S,T,46.0,0.5111111111111111,201.62,20,442,419,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,SBL,S,L,19.0,0.2111111111111111,201.62,20,442,418,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,SBU,S,U,0.0,0.0,201.62,20,442,420,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,WBR,W,R,6.0,0.03125,294.05,29,390,420,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,WBT,W,T,164.0,0.8541666666666666,294.05,29,390,421,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,WBL,W,L,22.0,0.11458333333333333,294.05,29,390,419,
0417) Shallowford Rd & Gunbarrel Rd,29700,30600,WBU,W,U,0.0,0.0,294.05,29,390,418,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,NBR,N,R,2.0,0.3333333333333333,23.34,2,423,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,NBT,N,T,1.0,0.16666666666666666,23.34,2,423,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,NBL,N,L,3.0,0.5,23.34,2,423,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,NBU,N,U,0.0,0.0,23.34,2,423,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,EBR,E,R,1.0,0.007518796992481203,114.28,11,426,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,EBT,E,T,127.0,0.9548872180451128,114.28,11,426,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,EBL,E,L,5.0,0.03759398496240601,114.28,11,426,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,EBU,E,U,0.0,0.0,114.28,11,426,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,SBR,S,R,9.0,0.375,201.4,20,440,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,SBT,S,T,4.0,0.16666666666666666,201.4,20,440,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,SBL,S,L,11.0,0.4583333333333333,201.4,20,440,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,SBU,S,U,0.0,0.0,201.4,20,440,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,WBR,W,R,17.0,0.06910569105691057,293.24,29,412,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,WBT,W,T,220.0,0.8943089430894309,293.24,29,412,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,WBL,W,L,9.0,0.036585365853658534,293.24,29,412,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,30600,31500,WBU,W,U,0.0,0.0,293.24,29,412,407,
0413) Shallowford Rd & I-75 SB,30600,31500,EBR,E,R,18.0,0.13333333333333333,111.5,11,424,399,
0413) Shallowford Rd & I-75 SB,30600,31500,EBT,E,T,117.0,0.8666666666666667,111.5,11,424,400,
0413) Shallowford Rd & I-75 SB,30600,31500,SBR,S,R,71.0,0.4226190476190476,235.09,24,424,398,
0413) Shallowford Rd & I-75 SB,30600,31500,SBT,S,T,2.0,0.011904761904761904,235.09,24,402,399,
0413) Shallowford Rd & I-75 SB,30600,31500,SBL,S,L,95.0,0.5654761904761905,235.09,24,402,400,
0413) Shallowford Rd & I-75 SB,30600,31500,WBT,W,T,170.0,0.6692913385826772,291.99,29,402,398,
0413) Shallowford Rd & I-75 SB,30600,31500,WBL,W,L,84.0,0.33070866141732286,291.99,29,414,400,
0413) Shallowford Rd & I-75 SB,30600,31500,WBU,W,U,0.0,0.0,291.99,29,414,398,
0414) Shallowford Rd & I-75 NB,30600,31500,NBR,N,R,124.0,0.6775956284153005,50.76,5,411,403,
0414) Shallowford Rd & I-75 NB,30600,31500,NBT,N,T,4.0,0.02185792349726776,50.76,5,411,401,
0414) Shallowford Rd & I-75 NB,30600,31500,NBL,N,L,55.0,0.3005464480874317,50.76,5,406,404,
0414) Shallowford Rd & I-75 NB,30600,31500,EBT,E,T,189.0,0.84375,114.36,11,406,403,
0414) Shallowford Rd & I-75 NB,30600,31500,EBL,E,L,35.0,0.15625,114.36,11,406,401,
0414) Shallowford Rd & I-75 NB,30600,31500,EBU,E,U,0.0,0.0,114.36,11,397,404,
0414) Shallowford Rd & I-75 NB,30600,31500,WBR,W,R,58.0,0.21014492753623187,296.65,30,397,403,
0414) Shallowford Rd & I-75 NB,30600,31500,WBT,W,T,218.0,0.7898550724637681,296.65,30,397,401,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,NBR,N,R,13.0,0.22807017543859648,25.84,3,434,416,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,NBT,N,T,5.0,0.08771929824561403,25.84,3,434,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,NBL,N,L,39.0,0.6842105263157895,25.84,3,434,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,NBU,N,U,0.0,0.0,25.84,3,434,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,EBR,E,R,4.0,0.017857142857142856,116.65,12,399,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,EBT,E,T,209.0,0.9330357142857143,116.65,12,399,416,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,EBL,E,L,11.0,0.049107142857142856,116.65,12,399,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,EBU,E,U,0.0,0.0,116.65,12,399,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,SBR,S,R,1.0,1.0,202.48,20,441,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,SBT,S,T,0.0,0.0,202.48,20,441,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,SBL,S,L,0.0,0.0,202.48,20,441,416,
