[Lanes],,,,,,,,,,,,,,,,
Lane Group Data,,,,,,,,,,,,,,,,
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,,,
Dest Node,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Lanes,cluster_1105879188_1105879277_1105879560_1105879625_#8more,1,1,1,1,1,0,1,3,0,1,2,1,,,
Shared,cluster_1105879188_1105879277_1105879560_1105879625_#8more,0,0,0,0,2,,0,2,,0,0,0,,,
Width,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Storage,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Taper,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
StLanes,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Grade,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Speed,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Phase1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,5,2,,1,6,,7,4,,3,8,,,,
PermPhase1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,2,,2,6,,6,4,,4,8,,8,,,
LostTime,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Lost Time Adjust,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
IdealFlow,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
SatFlow,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
SatFlowPerm,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Allow RTOR,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,1,,,1,,,1,,,1,,,
SatFlowRTOR,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Volume,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Peds,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Bicycles,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
PHF,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Growth,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
HeavyVehicles,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
BusStops,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Midblock,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Distance,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
TravelTime,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Right Channeled,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Alignment,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Enter Blocked,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
HeadwayFact,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Turning Speed,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
FirstDetect,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
LastDetect,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectPhase1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectPhase2,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectPhase3,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectPhase4,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
SwitchPhase,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
numDetects,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectPos1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectSize1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,25,50,,25,50,,25,50,,25,50,,,,
DetectType1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectExtend1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectQueue1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
DetectDelay1,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Exit Lanes,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
CBD,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Lane Group Flow,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
Up Node,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Dest Node,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Lanes,cluster_2565193678_2565193679_256631215_2817519892_#8more,1,2,0,1,2,0,1,2,1,1,2,1,,,
Shared,cluster_2565193678_2565193679_256631215_2817519892_#8more,0,2,,0,2,,0,0,0,0,0,0,,,
Width,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Storage,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Taper,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
StLanes,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Grade,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Speed,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Phase1,cluster_2565193678_2565193679_256631215_2817519892_#8more,5,2,,1,6,,7,4,,3,8,,,,
PermPhase1,cluster_2565193678_2565193679_256631215_2817519892_#8more,2,,2,6,,6,4,,4,8,,8,,,
LostTime,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Lost Time Adjust,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
IdealFlow,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
SatFlow,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
SatFlowPerm,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Allow RTOR,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,1,,,1,,,1,,,1,,,
SatFlowRTOR,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Volume,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Peds,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Bicycles,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
PHF,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Growth,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
HeavyVehicles,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
BusStops,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Midblock,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Distance,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
TravelTime,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Right Channeled,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Alignment,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Enter Blocked,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
HeadwayFact,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
Turning Speed,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
FirstDetect,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
LastDetect,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
DetectPhase1,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
DetectPhase2,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
DetectPhase3,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
DetectPhase4,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
SwitchPhase,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
numDetects,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
DetectPos1,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
DetectSize1,cluster_2565193678_2565193679_256631215_2817519892_#8more,25,50,,25,50,,25,50,,25,50,,,,
DetectType1,cluster_2565193678_2565193679_256631215_2817519892_#8more,,,,,,,,,,,,,,,
