IntersectionName,Time,NBR,NBT,NBL,NBU,EBR,EBT,EBL,EBU,SBR,SBT,SBL,SBU,WBR,WBT,WBL,WBU
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,0:00,3,3,,,1,21,1,,1,,3,,3,23,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,0:15,2,1,1,,1,18,4,,2,,4,,2,22,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,0:30,2,,2,,1,13,2,,2,,1,,,18,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,0:45,1,,,,,10,,,,,4,,4,21,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,1:00,2,,1,,1,13,2,,,,3,,2,14,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,1:15,1,,,,,13,1,,1,,,,2,9,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,1:30,,1,1,,,14,3,,2,,1,,1,14,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,1:45,1,1,,,,6,2,,2,,5,,1,9,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,2:00,,,,,,8,,,1,1,1,,1,5,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,2:15,2,,,,,9,,,,,1,,,10,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,2:30,,1,,,,4,,,,,2,,2,7,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,2:45,5,1,,,,5,1,,1,1,4,,,8,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,3:00,,,1,,2,8,2,,,,2,,,13,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,3:15,,1,1,,2,9,1,,,2,2,,,11,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,3:30,1,2,1,,1,7,,,1,,1,,,12,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,3:45,1,,,,1,6,,,,2,3,,,12,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,4:00,,1,1,,,7,,,,,1,,,10,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,4:15,,1,,,1,9,1,,,1,,,,18,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,4:30,4,,,,1,22,2,,,2,,,1,17,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,4:45,2,2,1,,,17,4,,,,2,,3,27,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,5:00,2,,,,1,22,,,,,5,,,21,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,5:15,1,,2,,1,28,1,,2,1,1,,,30,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,5:30,2,,,,,34,2,,1,2,2,,,40,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,5:45,,,,,1,36,1,,2,2,7,,3,46,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,6:00,6,,2,,,39,1,,,3,9,,4,76,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,6:15,5,3,1,,2,59,4,,3,3,21,,4,83,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,6:30,3,3,2,,1,65,2,,6,2,14,,4,117,6,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,6:45,4,3,1,,2,80,9,,3,2,16,,8,126,8,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,7:00,1,3,2,,3,92,3,,5,1,23,,9,136,7,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,7:15,4,5,1,,4,97,3,,7,5,21,,11,208,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,7:30,7,5,2,,3,109,4,,6,2,15,,9,256,10,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,7:45,3,2,4,,1,106,6,,3,1,14,,12,215,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,8:00,5,2,2,,1,118,4,,5,,24,,14,204,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,8:15,6,2,2,,,114,1,,4,2,23,,16,203,7,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,8:30,2,1,3,,1,127,5,,9,4,11,,17,220,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,8:45,6,7,5,,1,148,11,,13,3,24,,23,198,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,9:00,4,2,4,,5,134,4,,2,3,26,,16,171,3,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,9:15,5,4,1,,3,140,5,,5,2,19,,12,153,15,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,9:30,4,2,4,,5,153,3,,3,2,19,,16,179,4,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,9:45,3,2,7,,,151,10,,1,4,13,,19,181,8,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,10:00,7,6,5,,7,181,4,,3,3,32,,14,168,6,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,10:15,5,4,11,,5,183,4,,2,3,20,,15,176,8,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,10:30,9,6,5,,7,182,7,,8,2,29,,10,203,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,10:45,4,2,2,,7,187,9,,13,3,10,,12,195,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,11:00,12,1,3,,4,184,12,,6,6,17,,17,197,7,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,11:15,7,1,2,,10,162,10,,10,2,15,,13,204,10,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,11:30,3,2,5,,6,202,13,,8,6,13,,19,183,14,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,11:45,3,3,11,,2,233,21,,11,4,32,,17,197,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,12:00,6,3,3,,11,225,13,,6,3,18,,18,210,13,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,12:15,9,5,7,,1,220,10,,10,7,26,,15,268,10,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,12:30,4,8,8,,5,191,15,,10,2,21,,23,213,21,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,12:45,7,1,8,,8,219,12,,5,6,19,,16,250,10,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,13:00,3,2,9,,4,223,13,,5,7,18,,16,211,7,1
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,13:15,16,2,9,,6,224,11,,13,2,14,,15,225,12,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,13:30,11,5,12,,10,203,6,,8,7,26,,16,231,10,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,13:45,9,4,4,,4,213,11,,7,2,28,,23,227,12,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,14:00,4,2,5,,5,197,8,,6,2,21,,13,224,13,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,14:15,4,7,7,,3,174,9,,11,3,30,,14,209,14,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,14:30,10,2,6,,4,213,7,,9,3,20,,18,225,13,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,14:45,7,6,9,,2,201,13,,7,1,26,1,19,224,13,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,15:00,3,2,5,,8,162,6,,4,3,17,,22,235,20,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,15:15,3,3,6,,8,222,8,,9,1,16,,12,251,22,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,15:30,4,8,9,,11,176,5,,7,5,31,,10,218,12,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,15:45,7,4,6,,3,193,8,,6,3,18,,26,240,22,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,16:00,13,3,13,,7,200,14,,8,7,28,,14,195,19,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,16:15,6,3,16,,9,208,7,,4,,19,,20,226,18,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,16:30,10,2,4,,7,210,10,,8,5,18,,17,224,19,1
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,16:45,11,6,6,,12,210,16,,5,2,15,,18,192,24,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,17:00,11,2,12,,9,223,12,,11,5,17,,21,206,23,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,17:15,18,9,8,,8,173,11,,9,3,26,,22,205,28,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,17:30,14,8,10,,13,188,17,,12,6,13,,33,211,22,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,17:45,17,9,9,,12,199,9,,6,2,30,,18,174,24,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,18:00,19,10,5,,8,203,16,,5,1,24,,15,189,20,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,18:15,22,14,9,,9,155,11,,6,6,27,,29,148,34,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,18:30,20,7,6,,5,181,9,,8,9,22,,29,175,26,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,18:45,11,13,6,,9,184,9,,10,4,24,,25,122,23,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,19:00,16,12,7,,3,175,2,,9,8,24,,19,155,17,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,19:15,16,15,6,,2,151,9,,2,8,15,,33,161,16,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,19:30,15,15,6,,7,121,6,,14,6,25,,18,156,24,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,19:45,15,12,5,,3,113,7,,7,8,26,,16,158,14,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,20:00,10,7,7,,8,120,9,,5,5,19,,33,137,20,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,20:15,22,11,7,,3,148,12,,10,1,14,,24,144,19,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,20:30,11,4,2,,7,101,11,,4,6,19,,14,144,15,1
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,20:45,10,5,6,,1,107,6,,7,5,15,,19,114,17,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,21:00,6,7,5,,8,106,12,,8,6,21,,19,147,11,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,21:15,14,8,7,,3,92,7,,6,5,10,,9,129,3,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,21:30,9,4,7,,2,77,3,,3,6,13,,4,91,3,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,21:45,11,6,6,,5,61,8,,7,1,7,,8,88,5,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,22:00,5,5,6,,1,78,9,,4,2,8,,13,87,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,22:15,9,7,4,,6,52,6,,3,1,9,,6,65,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,22:30,15,1,6,,3,43,3,,8,3,6,,13,62,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,22:45,11,5,2,,,43,6,,2,6,8,,7,50,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,23:00,5,,4,,3,33,2,,7,5,5,,1,44,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,23:15,4,4,1,,,32,3,,2,2,5,,4,45,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,23:30,3,,2,,,21,4,,3,3,6,,4,28,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,23:45,4,,1,,,22,3,,4,,7,,4,37,2,
Shallowford Rd. & I-75 SB Off Ramp,00:00,,,,,,22,,,4,,10,,,28,9,
Shallowford Rd. & I-75 SB Off Ramp,00:15,,,,,,22,,,3,,6,,,26,8,
Shallowford Rd. & I-75 SB Off Ramp,00:30,,,,,,16,,,4,,6,,,19,10,
Shallowford Rd. & I-75 SB Off Ramp,00:45,,,,,,12,,,6,,4,,,20,9,
Shallowford Rd. & I-75 SB Off Ramp,01:00,,,,,,17,,,4,2,,,,24,13,
Shallowford Rd. & I-75 SB Off Ramp,01:15,,,,,,10,,,3,1,1,,,11,5,
Shallowford Rd. & I-75 SB Off Ramp,01:30,,,,,,13,,,2,,2,,,12,4,
Shallowford Rd. & I-75 SB Off Ramp,01:45,,,,,,11,,,3,,3,,,16,3,
Shallowford Rd. & I-75 SB Off Ramp,02:00,,,,,,10,,,3,,1,,,5,5,
Shallowford Rd. & I-75 SB Off Ramp,02:15,,,,,,9,,,2,,1,,,9,4,
Shallowford Rd. & I-75 SB Off Ramp,02:30,,,,,,4,,,1,1,2,,,8,4,
Shallowford Rd. & I-75 SB Off Ramp,02:45,,,,,,13,,,4,,4,,,7,4,
Shallowford Rd. & I-75 SB Off Ramp,03:00,,,,,,10,,,4,,3,,,7,1,
Shallowford Rd. & I-75 SB Off Ramp,03:15,,,,,,4,,,5,,1,,,4,2,
Shallowford Rd. & I-75 SB Off Ramp,03:30,,,,,,8,,,3,,4,,,8,2,
Shallowford Rd. & I-75 SB Off Ramp,03:45,,,,,,6,,,9,1,,,,5,8,
Shallowford Rd. & I-75 SB Off Ramp,04:00,,,,,,5,,,2,,3,,,13,6,
Shallowford Rd. & I-75 SB Off Ramp,04:15,,,,,,6,,,8,,8,,,8,6,
Shallowford Rd. & I-75 SB Off Ramp,04:30,,,,,,13,,,4,2,7,,,11,8,
Shallowford Rd. & I-75 SB Off Ramp,04:45,,,,,,23,,,10,,21,,,25,10,
Shallowford Rd. & I-75 SB Off Ramp,05:00,,,,,,16,,,10,1,6,1,,11,12,
Shallowford Rd. & I-75 SB Off Ramp,05:15,,,,,1,26,,,8,,14,,,23,13,
Shallowford Rd. & I-75 SB Off Ramp,05:30,,,,,1,21,,,12,,12,,,27,16,
Shallowford Rd. & I-75 SB Off Ramp,05:45,,,,,2,35,,,16,,33,,,34,27,
Shallowford Rd. & I-75 SB Off Ramp,06:00,,,,,,36,,,26,1,34,,,44,35,
Shallowford Rd. & I-75 SB Off Ramp,06:15,,,,,21,53,,,30,2,44,1,,60,40,
Shallowford Rd. & I-75 SB Off Ramp,06:30,,,,,23,51,,,43,,51,,,84,52,
Shallowford Rd. & I-75 SB Off Ramp,06:45,,,,,21,75,1,,55,3,102,,,92,45,1
Shallowford Rd. & I-75 SB Off Ramp,07:00,,,,,31,67,,,59,2,76,,,97,80,
Shallowford Rd. & I-75 SB Off Ramp,07:15,,,,,28,81,,,76,1,84,,,134,68,
Shallowford Rd. & I-75 SB Off Ramp,07:30,,,,,26,90,,,93,2,107,1,1,179,104,
Shallowford Rd. & I-75 SB Off Ramp,07:45,,,,,17,110,,,91,2,112,1,1,168,78,
Shallowford Rd. & I-75 SB Off Ramp,08:00,,,,,26,102,,,67,,101,1,1,170,87,
Shallowford Rd. & I-75 SB Off Ramp,08:15,,,,,30,106,,,64,,95,2,,185,77,1
Shallowford Rd. & I-75 SB Off Ramp,08:30,,,,,18,117,,,71,2,95,,,170,84,
Shallowford Rd. & I-75 SB Off Ramp,08:45,,,,,15,132,,,83,4,108,,,179,83,
Shallowford Rd. & I-75 SB Off Ramp,09:00,,,,,16,147,,,50,1,122,1,,159,85,
Shallowford Rd. & I-75 SB Off Ramp,09:15,,,,,21,143,,,47,2,91,,,163,88,
Shallowford Rd. & I-75 SB Off Ramp,09:30,,,,,25,149,,,46,2,101,,,148,71,
Shallowford Rd. & I-75 SB Off Ramp,09:45,,,,,22,114,,,55,1,131,,,171,96,
Shallowford Rd. & I-75 SB Off Ramp,10:00,,,,,34,163,,,41,2,99,,,157,64,
Shallowford Rd. & I-75 SB Off Ramp,10:15,,,,,26,183,,,40,1,119,,,152,99,
Shallowford Rd. & I-75 SB Off Ramp,10:30,,,,,27,182,,,46,1,113,,,176,65,
Shallowford Rd. & I-75 SB Off Ramp,10:45,,,,,26,169,,,47,1,115,,,186,92,
Shallowford Rd. & I-75 SB Off Ramp,11:00,,,,,25,165,,,39,,98,,,189,82,
Shallowford Rd. & I-75 SB Off Ramp,11:15,,,,,18,148,,,35,,127,,,201,92,
Shallowford Rd. & I-75 SB Off Ramp,11:30,,,,,32,193,,,41,,133,,,159,80,
Shallowford Rd. & I-75 SB Off Ramp,11:45,,,,,26,206,,,44,,119,,,196,93,
Shallowford Rd. & I-75 SB Off Ramp,12:00,,,,,22,214,,,39,2,124,,,215,126,
Shallowford Rd. & I-75 SB Off Ramp,12:15,,,,,23,224,,,45,3,141,,,219,78,
Shallowford Rd. & I-75 SB Off Ramp,12:30,,,,,16,225,,,43,,116,,,225,86,
Shallowford Rd. & I-75 SB Off Ramp,12:45,,,,,18,207,,,30,,134,,,230,105,
Shallowford Rd. & I-75 SB Off Ramp,13:00,,,,,29,215,,,40,1,92,,,234,113,
Shallowford Rd. & I-75 SB Off Ramp,13:15,,,,,28,203,,,42,1,125,,,207,96,
Shallowford Rd. & I-75 SB Off Ramp,13:30,,,,,31,204,,,40,,109,,,228,115,
Shallowford Rd. & I-75 SB Off Ramp,13:45,,,,,37,209,,,52,2,98,,,217,97,
Shallowford Rd. & I-75 SB Off Ramp,14:00,,,,,30,188,,,42,,101,,,217,99,
Shallowford Rd. & I-75 SB Off Ramp,14:15,,,,,36,189,,,42,,82,,,218,94,
Shallowford Rd. & I-75 SB Off Ramp,14:30,,,,,31,195,,,41,1,121,,,206,127,
Shallowford Rd. & I-75 SB Off Ramp,14:45,,,,,26,185,,,46,1,122,,,216,120,
Shallowford Rd. & I-75 SB Off Ramp,15:00,,,,,28,192,,1,51,,99,,,227,96,
Shallowford Rd. & I-75 SB Off Ramp,15:15,,,,,28,190,,,49,2,88,,,259,94,
Shallowford Rd. & I-75 SB Off Ramp,15:30,,,,,31,176,,,42,1,96,,,223,119,
Shallowford Rd. & I-75 SB Off Ramp,15:45,,,,,33,200,,,38,1,81,,,228,111,
Shallowford Rd. & I-75 SB Off Ramp,16:00,,,,,43,205,,,42,,91,,,213,134,
Shallowford Rd. & I-75 SB Off Ramp,16:15,,,,,38,215,,,39,,97,,,250,142,
Shallowford Rd. & I-75 SB Off Ramp,16:30,,,,,37,198,,,49,,91,,,201,119,
Shallowford Rd. & I-75 SB Off Ramp,16:45,,,,,35,222,,,46,1,113,,,194,107,
Shallowford Rd. & I-75 SB Off Ramp,17:00,,,,,50,218,,,59,1,91,,,214,157,
Shallowford Rd. & I-75 SB Off Ramp,17:15,,,,,26,198,,,47,3,122,,,213,140,
Shallowford Rd. & I-75 SB Off Ramp,17:30,,,,,43,197,,,38,1,133,,,223,122,
Shallowford Rd. & I-75 SB Off Ramp,17:45,,,,,37,215,,,60,2,112,,,207,107,
Shallowford Rd. & I-75 SB Off Ramp,18:00,,,,,38,204,,,53,,132,,,213,100,
Shallowford Rd. & I-75 SB Off Ramp,18:15,,,,,16,155,,,41,1,115,,,178,105,
Shallowford Rd. & I-75 SB Off Ramp,18:30,,,,,34,177,,,34,2,88,,,187,91,
Shallowford Rd. & I-75 SB Off Ramp,18:45,,,,,23,175,,,30,1,84,,,205,104,
Shallowford Rd. & I-75 SB Off Ramp,19:00,,,,,28,195,,,24,2,67,,,202,95,
Shallowford Rd. & I-75 SB Off Ramp,19:15,,,,,35,140,,,28,2,73,,,184,80,
Shallowford Rd. & I-75 SB Off Ramp,19:30,,,,,35,159,,,27,1,52,,,166,75,
Shallowford Rd. & I-75 SB Off Ramp,19:45,,,,,25,147,,,28,2,48,,,198,76,
Shallowford Rd. & I-75 SB Off Ramp,20:00,,,,,29,131,,,21,1,53,,,171,78,
Shallowford Rd. & I-75 SB Off Ramp,20:15,,,,,21,153,,,17,,41,,,190,73,
Shallowford Rd. & I-75 SB Off Ramp,20:30,,,,,21,115,,,17,1,44,,,167,80,
Shallowford Rd. & I-75 SB Off Ramp,20:45,,,,,22,105,,,14,2,30,,,139,72,
Shallowford Rd. & I-75 SB Off Ramp,21:00,,,,,21,112,,1,22,1,30,,,154,69,
Shallowford Rd. & I-75 SB Off Ramp,21:15,,,,,2,99,,,13,1,26,1,1,153,42,
Shallowford Rd. & I-75 SB Off Ramp,21:30,,,,,,91,,,14,1,18,1,,114,51,
Shallowford Rd. & I-75 SB Off Ramp,21:45,,,,,1,71,,,14,,18,,,99,53,
Shallowford Rd. & I-75 SB Off Ramp,22:00,,,,,1,72,,,12,1,21,,,115,34,
Shallowford Rd. & I-75 SB Off Ramp,22:15,,,,,,69,,,14,,10,,,71,22,
Shallowford Rd. & I-75 SB Off Ramp,22:30,,,,,,51,,,15,1,10,,,81,20,
Shallowford Rd. & I-75 SB Off Ramp,22:45,,,,,,52,,,9,,17,,,52,31,
Shallowford Rd. & I-75 SB Off Ramp,23:00,,,,,,47,,,6,,14,,,63,24,
Shallowford Rd. & I-75 SB Off Ramp,23:15,,,,,1,39,,,3,,13,,,46,20,
Shallowford Rd. & I-75 SB Off Ramp,23:30,,,,,,23,,,3,,8,1,,36,10,
Shallowford Rd. & I-75 SB Off Ramp,23:45,,,,,1,25,,,4,1,10,1,,29,11,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,00:00,,,5,,,33,,,,,,,,22,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,00:15,,,5,,,27,,,,,,,,29,2,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,00:30,,,5,,1,27,,,,,,,,24,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,00:45,,,6,,,19,,,,,,,,23,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,01:00,,,7,,,17,,,,,,,,21,2,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,01:15,1,,3,,,15,,,,,,,,21,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,01:30,1,,,,1,11,,,,,,,,9,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,01:45,2,,1,,,10,1,,,,,,,15,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,02:00,,,,,,9,,,1,,,,1,10,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,02:15,,,,,,5,,,,,,,,8,1,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,02:30,,,1,,,7,,,,,,,,8,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,02:45,,1,1,,1,9,1,,,,,,,6,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,03:00,1,1,,,,13,1,,,1,,,,8,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,03:15,,,1,,,6,,,,,,,,6,1,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,03:30,1,,,,,12,,,,,1,,,8,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,03:45,,,3,,,6,,,,,,,,11,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,04:00,,,1,,,8,,,1,,,,,14,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,04:15,,,,,,15,,,,,,,,11,1,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,04:30,,,4,,,15,1,,2,,,,,15,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,04:45,1,,6,,,39,1,,,,,,,28,,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,05:00,1,,2,,,35,,,1,,,,1,23,1,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,05:15,,,5,,,33,2,,,,,,,35,2,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,05:30,,,4,,1,29,,,,,,,,40,2,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,05:45,1,,3,,,74,4,,2,1,,,1,56,4,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,06:00,4,,13,,5,60,1,,1,,,,,92,1,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,06:15,,1,17,,1,98,6,,1,,,,,95,6,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,06:30,3,2,15,,3,125,6,,,,,,,110,4,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,06:45,1,2,12,,1,179,14,,,,,,,119,6,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,07:00,7,4,22,,5,115,9,,5,2,3,,1,169,13,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,07:15,6,1,19,,1,177,18,1,5,1,,,1,173,10,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,07:30,4,5,38,,5,217,9,,4,1,1,,1,233,20,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,07:45,8,5,34,,4,233,17,,1,2,2,,2,222,15,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,08:00,6,6,27,,5,217,12,,5,1,1,,,217,19,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,08:15,8,,28,,10,219,13,,5,1,,,,247,17,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,08:30,13,5,39,,4,209,11,,1,,,,1,241,25,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,08:45,9,5,21,,5,252,16,,6,1,1,,1,219,15,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,09:00,7,,26,,6,237,11,,3,2,3,,2,221,10,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,09:15,16,4,40,,3,219,13,,3,1,1,,1,222,14,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,09:30,16,7,40,,2,234,7,,12,4,3,,,195,21,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,09:45,11,6,37,,5,216,12,,7,1,2,,2,251,14,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,10:00,8,7,41,,5,217,15,,2,5,,,2,214,13,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,10:15,19,8,53,,10,249,11,,7,2,1,,3,232,10,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,10:30,20,8,52,,6,259,14,,6,3,2,,3,248,16,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,10:45,21,4,55,,3,235,17,,7,5,5,,2,236,30,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,11:00,15,10,51,,5,219,7,,9,4,1,,4,262,18,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,11:15,22,13,63,,5,230,10,,10,4,2,,3,269,17,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,11:30,12,10,62,,7,262,13,,7,1,1,,2,242,16,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,11:45,17,5,65,,7,281,15,,10,7,4,,6,267,24,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,12:00,18,18,92,,10,225,15,,10,7,5,,1,320,20,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,12:15,27,5,74,,12,299,17,,8,7,1,,1,298,23,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,12:30,24,11,87,,8,286,15,,13,6,4,,2,309,19,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,12:45,26,11,108,,11,289,16,,8,4,6,,3,316,19,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,13:00,21,13,98,,11,267,14,,6,4,8,,3,306,19,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,13:15,30,8,90,,5,294,12,,14,7,6,,8,306,18,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,13:30,26,10,104,,5,262,11,,9,5,4,,9,301,23,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,13:45,35,15,101,,9,254,19,,22,9,3,,5,293,17,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,14:00,26,13,101,,14,242,11,,12,3,1,,5,311,12,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,14:15,24,7,84,,9,255,13,,13,5,3,,4,286,19,
Hamilton Place Blvd./Napier Dr. & Shallowford Rd.,14:30,22,14,87,,11,258,12,,10,6,4,,4,319,19,
